account_id,customer_age,home_state,monthly_income,account_age_days,typical_amount,customer_segment
ACC-00143,70,SP,4060.66,4267,238.04,Varejo
ACC-00144,24,MG,4407.71,926,421.61,Varejo
ACC-00145,46,SP,2065.69,4449,103.12,Digital
ACC-00146,61,PE,10500.85,1632,752.51,Varejo
ACC-00147,45,SP,10478.38,986,1615.94,Varejo
ACC-00148,29,SP,5477.69,3234,303.44,Varejo
ACC-00149,23,PE,3754.95,1911,505.77,Varejo
ACC-00150,47,MG,4334.81,3549,647.68,Varejo
ACC-00151,21,SC,1877.43,2802,298.99,Varejo
ACC-00152,49,PE,3276.75,3756,82.18,Digital
ACC-00153,36,SP,3575.26,3610,91.04,Varejo
ACC-00154,73,MG,2199.64,2093,95.41,Varejo
ACC-00155,36,GO,6647.46,450,703.98,Varejo
ACC-00156,50,SP,1514.42,1495,145.96,Digital
ACC-00157,56,MG,2850.58,3895,395.7,Varejo
ACC-00158,54,SP,885.04,4857,35.0,Digital
ACC-00159,34,MG,5286.61,2951,457.4,Varejo
ACC-00160,66,SP,6202.41,612,816.03,Varejo
ACC-00161,26,SP,5732.12,1620,642.17,Alta renda
ACC-00162,36,SP,25508.23,2600,1815.71,Varejo
ACC-00163,35,MG,7050.57,502,367.64,Digital
ACC-00164,59,SP,2074.98,2923,167.48,Alta renda
ACC-00165,45,SP,21618.42,3794,993.0,Digital
ACC-00166,23,SP,2104.42,3334,99.53,Varejo
ACC-00167,62,SP,6391.22,4546,867.48,Alta renda
ACC-00168,22,RS,6204.52,4954,203.48,Empresarial
ACC-00169,31,GO,2160.68,4901,300.18,Digital
ACC-00170,76,RS,9480.35,3378,413.48,Empresarial
ACC-00171,77,BA,4819.79,4609,229.79,Varejo
ACC-00172,36,SP,5547.6,4397,208.59,Digital
ACC-00173,37,RS,2467.04,233,170.4,Varejo
ACC-00174,45,DF,8925.89,3227,886.11,Varejo
ACC-00175,61,GO,2187.23,4936,184.61,Varejo
ACC-00176,27,SP,1204.17,1295,173.09,Alta renda
ACC-00177,66,SP,9665.64,1294,1073.64,Varejo
ACC-00178,36,RJ,2900.46,1135,211.03,Varejo
ACC-00179,72,SP,3937.06,1458,334.22,Varejo
ACC-00180,72,DF,13356.95,4851,729.97,Varejo
ACC-00181,18,SP,8012.19,2683,956.42,Digital
ACC-00182,73,MG,5774.81,3292,555.28,Alta renda
ACC-00183,21,DF,7672.85,4567,843.57,Varejo
ACC-00184,55,GO,2385.39,1084,69.7,Varejo
ACC-00185,71,MG,6244.82,2395,893.32,Empresarial
ACC-00186,30,SP,7875.08,2015,1146.41,Varejo
ACC-00187,19,MG,6254.3,1177,766.93,Empresarial
ACC-00188,75,SP,3352.0,3989,121.89,Alta renda
ACC-00189,41,SP,335.02,193,35.0,Alta renda
ACC-00190,64,RS,5498.59,2907,341.21,Alta renda
ACC-00191,48,SP,4124.37,1341,338.45,Alta renda
ACC-00192,23,SP,3010.29,1341,116.75,Alta renda
ACC-00193,44,GO,6347.17,3485,354.41,Empresarial
ACC-00194,59,SP,4549.2,3937,388.55,Alta renda
ACC-00195,31,SC,4370.23,1120,620.31,Alta renda
ACC-00196,42,SP,1459.23,1177,201.35,Varejo
ACC-00197,48,PR,1482.43,2630,167.56,Varejo
ACC-00198,20,SP,4870.0,1970,136.32,Varejo
ACC-00199,51,MG,4021.61,1305,370.81,Varejo
ACC-00200,32,MG,4188.85,790,631.24,Digital
ACC-00201,75,PE,4264.46,992,248.09,Varejo
ACC-00202,50,SP,5001.27,1645,148.39,Digital
ACC-00203,53,RS,3918.42,1407,271.96,Varejo
ACC-00204,52,PR,4240.99,3983,359.57,Varejo
ACC-00205,63,RS,4520.94,1745,697.92,Varejo
ACC-00206,75,GO,7003.16,3709,1107.87,Digital
ACC-00207,46,RS,2739.29,3933,99.25,Digital
ACC-00208,46,MG,6381.49,4191,697.68,Alta renda
ACC-00209,63,SP,5788.62,2659,456.52,Digital
ACC-00210,38,MG,4099.05,621,491.36,Digital
ACC-00211,37,GO,2810.67,4996,411.66,Empresarial
ACC-00212,71,BA,4865.58,2361,616.69,Empresarial
ACC-00213,77,RJ,6711.53,1564,579.15,Empresarial
ACC-00214,48,PR,1903.15,930,57.16,Alta renda
ACC-00215,68,BA,3985.41,626,597.5,Varejo
ACC-00216,50,BA,3992.14,976,603.59,Alta renda
ACC-00217,57,SP,2490.45,1375,278.06,Empresarial
ACC-00218,29,SP,2559.23,1983,369.98,Varejo
ACC-00219,19,PR,1396.54,3583,97.16,Alta renda
ACC-00220,65,GO,1868.64,578,134.8,Varejo
ACC-00221,49,SP,1409.01,1396,219.04,Varejo
ACC-00222,64,MG,2563.75,512,180.41,Varejo
ACC-00223,53,GO,2659.81,4086,229.57,Digital
ACC-00224,51,MG,2692.34,2783,185.5,Digital
ACC-00225,20,SP,4874.14,199,263.96,Varejo
ACC-00226,40,RJ,3388.29,2045,284.56,Digital
ACC-00227,72,SP,2383.22,515,301.84,Digital
ACC-00228,52,BA,2394.13,3592,298.49,Varejo
ACC-00229,64,RJ,1834.48,329,57.54,Digital
ACC-00230,67,RS,3369.4,2248,233.16,Digital
ACC-00231,50,SP,3330.46,4426,446.2,Varejo
ACC-00232,58,SC,10992.0,2235,1508.64,Varejo
ACC-00233,71,RJ,10375.46,3350,717.09,Alta renda
ACC-00234,71,RS,10002.96,3107,1330.61,Varejo
ACC-00235,25,RJ,14787.06,650,1809.7,Empresarial
ACC-00236,44,PE,1735.25,4434,125.22,Varejo
ACC-00237,74,RS,5927.99,889,574.48,Varejo
ACC-00238,57,SP,6277.23,3483,303.15,Varejo
ACC-00239,28,SC,5216.28,2662,151.2,Varejo
ACC-00240,52,SP,15250.02,4931,837.97,Empresarial
ACC-00241,20,SP,19922.78,1579,2044.69,Digital
ACC-00242,57,MG,7234.3,3825,940.63,Digital
ACC-00243,28,RJ,5852.04,645,867.81,Varejo
ACC-00244,47,RJ,1845.38,2863,268.06,Digital
ACC-00245,57,SP,1847.83,4304,57.82,Alta renda
ACC-00246,51,BA,6033.88,1921,851.28,Varejo
ACC-00247,55,SP,3644.01,1708,142.46,Empresarial
ACC-00248,42,SP,1611.85,1555,58.37,Varejo
ACC-00249,22,MG,3531.17,3567,237.04,Digital
ACC-00250,50,SP,4836.78,1542,311.31,Alta renda
ACC-00251,24,RS,7032.89,3757,977.94,Varejo
ACC-00252,34,RJ,3568.88,836,273.75,Varejo
ACC-00253,61,SP,3213.16,608,206.91,Varejo
ACC-00254,72,SP,3843.1,2919,375.54,Varejo
ACC-00255,39,PE,4283.13,388,652.44,Alta renda
ACC-00256,37,BA,1797.16,280,113.29,Varejo
ACC-00257,45,SP,6579.08,4540,899.28,Varejo
ACC-00258,70,GO,15894.24,2276,1960.54,Varejo
ACC-00259,75,BA,6497.87,1240,573.95,Digital
ACC-00260,67,SP,1493.19,769,187.49,Alta renda
ACC-00261,52,BA,4070.13,2581,374.92,Varejo
ACC-00262,60,PR,1214.81,782,145.46,Digital
ACC-00263,19,SP,1165.62,3402,84.69,Varejo
ACC-00264,55,RJ,5875.31,633,523.71,Digital
ACC-00265,20,RS,4025.77,648,215.09,Digital
ACC-00266,65,SP,2448.86,4115,165.46,Digital
ACC-00267,66,SP,985.51,1753,156.74,Varejo
ACC-00268,62,MG,1677.73,1054,177.17,Digital
ACC-00269,31,SP,4253.2,3878,466.35,Varejo
ACC-00270,50,BA,3907.8,4282,269.74,Empresarial
ACC-00271,55,SP,5992.75,1471,646.67,Digital
ACC-00272,19,SP,10303.17,4435,615.33,Digital
ACC-00273,48,PE,3070.15,3438,231.91,Alta renda
ACC-00274,45,SP,5191.76,1541,815.98,Varejo
ACC-00275,34,BA,3499.69,3865,449.15,Varejo
ACC-00276,37,MG,2771.79,2121,230.92,Empresarial
ACC-00277,52,MG,3264.58,834,328.24,Digital
ACC-00278,76,MG,7147.3,2778,477.94,Varejo
ACC-00279,35,BA,1961.62,404,235.34,Digital
ACC-00280,39,PE,8035.9,1193,517.65,Alta renda
ACC-00281,21,MG,9998.96,944,1386.87,Varejo
ACC-00282,58,BA,3917.57,2726,598.44,Varejo
ACC-00283,47,GO,4517.42,2597,521.26,Varejo
ACC-00284,33,BA,1528.94,4475,79.75,Empresarial
ACC-00285,72,MG,17753.67,2912,1492.67,Digital
ACC-00286,76,SP,7232.03,2019,463.0,Varejo
ACC-00287,69,SP,4281.16,4593,319.61,Varejo
ACC-00288,76,RJ,3973.23,4648,186.31,Varejo
ACC-00289,34,SP,5131.39,914,547.14,Digital
ACC-00290,52,MG,2506.64,1557,172.47,Alta renda
ACC-00291,69,SP,4601.42,2887,218.32,Digital
ACC-00292,77,RJ,2099.96,4898,318.73,Digital
ACC-00293,38,SP,5288.33,2165,153.11,Empresarial
ACC-00294,41,RJ,2463.06,3779,393.61,Varejo
ACC-00295,62,SP,6850.57,392,267.43,Empresarial
ACC-00296,19,MG,3539.57,4584,300.54,Empresarial
ACC-00297,37,SP,4558.21,968,412.85,Varejo
ACC-00298,73,GO,26227.85,225,3280.39,Varejo
ACC-00299,27,RJ,6455.91,611,958.41,Varejo
ACC-00300,33,SP,4555.41,2383,351.0,Varejo
ACC-00301,77,RJ,3939.67,3951,473.89,Varejo
ACC-00302,51,SP,1947.97,2722,55.22,Digital
ACC-00303,53,PR,7744.54,4415,219.1,Varejo
ACC-00304,73,SP,10845.66,4438,762.89,Varejo
ACC-00305,54,PE,3991.13,4413,307.47,Alta renda
ACC-00306,32,SP,11383.14,4035,877.0,Alta renda
ACC-00307,61,MG,3558.23,4909,290.6,Varejo
ACC-00308,50,SP,1208.96,3034,131.57,Digital
ACC-00309,55,SP,2503.38,240,135.99,Varejo
ACC-00310,50,GO,1925.53,4423,146.93,Digital
ACC-00311,37,SP,3202.06,918,223.4,Varejo
ACC-00312,50,PE,5753.35,3890,914.79,Empresarial
ACC-00313,77,RJ,2092.61,1801,100.04,Empresarial
ACC-00314,55,RS,3633.1,828,116.48,Alta renda
ACC-00315,60,SP,4357.17,3382,219.19,Empresarial
ACC-00316,43,RS,2376.85,4085,291.9,Varejo
ACC-00317,23,PR,2119.52,4413,101.28,Digital
ACC-00318,45,SP,4050.8,820,423.8,Varejo
ACC-00319,26,GO,6748.26,3584,786.63,Varejo
ACC-00320,58,SC,2586.09,1916,161.26,Varejo
ACC-00321,74,BA,2348.65,165,320.2,Varejo
ACC-00322,74,SP,3491.84,3374,534.74,Digital
ACC-00323,54,PR,4621.46,2125,275.18,Digital
ACC-00324,73,MG,2689.31,3614,191.85,Varejo
ACC-00325,39,RJ,3080.37,565,304.24,Alta renda
ACC-00326,39,SP,3293.4,4023,230.88,Digital
ACC-00327,58,SP,1889.82,3590,270.33,Alta renda
ACC-00328,36,GO,3410.45,3960,540.6,Varejo
ACC-00329,59,SP,2659.7,1412,236.32,Varejo
ACC-00330,48,SP,10712.89,4557,1264.16,Digital
ACC-00331,56,SP,2734.6,1324,88.59,Varejo
ACC-00332,66,RJ,5151.91,2511,606.98,Varejo
ACC-00333,23,SP,4898.51,4402,243.78,Empresarial
ACC-00334,62,SP,1850.63,3411,149.32,Varejo
ACC-00335,67,SP,1699.66,4678,271.65,Digital
ACC-00336,26,MG,2865.32,4852,147.28,Digital
ACC-00337,68,PE,5888.01,4816,794.93,Varejo
ACC-00338,74,GO,2636.99,1654,89.48,Digital
ACC-00339,50,SP,2498.63,1598,345.93,Varejo
ACC-00340,43,MG,581.06,1263,35.0,Varejo
ACC-00341,72,RS,2957.37,4162,78.08,Alta renda
ACC-00342,34,SP,4689.64,1380,176.61,Varejo
ACC-00343,74,PE,5110.47,4241,623.86,Empresarial
ACC-00344,54,GO,5059.26,3561,368.3,Empresarial
ACC-00345,70,SP,3093.01,3819,142.19,Varejo
ACC-00346,40,GO,3302.21,980,416.71,Alta renda
ACC-00347,35,MG,6574.67,478,749.04,Alta renda
ACC-00348,62,SP,3504.45,3790,130.87,Digital
ACC-00349,55,SP,856.64,3548,88.26,Varejo
ACC-00350,63,RS,7427.96,2007,656.77,Empresarial
ACC-00351,44,RJ,1899.81,4699,273.67,Varejo
ACC-00352,69,SP,9357.54,4833,1335.81,Digital
ACC-00353,63,RS,11512.58,234,950.67,Varejo
ACC-00354,66,PR,6282.89,2272,627.19,Digital
ACC-00355,45,BA,6888.96,901,544.26,Varejo
ACC-00356,77,RJ,12804.72,329,687.05,Varejo
ACC-00357,18,SP,1869.86,4741,227.13,Varejo
ACC-00358,31,SP,4514.29,1144,526.67,Digital
ACC-00359,44,BA,4471.11,843,165.66,Varejo
ACC-00360,51,RS,2041.37,3568,275.33,Digital
ACC-00361,27,SP,14152.95,421,2099.4,Empresarial
ACC-00362,43,SP,2624.25,1165,211.25,Digital
ACC-00363,74,SP,2379.61,4609,161.49,Varejo
ACC-00364,66,SP,4555.15,1654,245.22,Digital
ACC-00365,20,RJ,7481.78,2309,983.09,Alta renda
ACC-00366,59,MG,2589.76,1052,133.32,Varejo
ACC-00367,28,RJ,2592.25,2896,363.7,Varejo
ACC-00368,47,SP,5311.72,4196,374.4,Varejo
ACC-00369,34,MG,1515.27,3177,78.63,Varejo
ACC-00370,60,SC,2316.52,2760,369.57,Varejo
ACC-00371,45,PR,2219.74,340,312.45,Digital
ACC-00372,46,SC,2886.16,3763,209.22,Varejo
ACC-00373,52,DF,3489.55,4376,194.83,Digital
ACC-00374,74,SC,12692.11,4720,1484.96,Digital
ACC-00375,56,SP,6903.51,4063,738.81,Empresarial
ACC-00376,45,GO,3883.76,3496,532.05,Varejo
ACC-00377,65,PR,3307.49,2690,355.87,Empresarial
ACC-00378,38,RS,6756.96,4140,540.55,Varejo
ACC-00379,20,PE,5056.65,1128,416.31,Digital
ACC-00380,47,GO,6831.41,857,452.94,Digital
ACC-00381,44,RJ,9392.19,516,513.9,Varejo
ACC-00382,44,SP,1987.59,2626,143.06,Varejo
ACC-00383,53,PR,885.05,3744,104.32,Alta renda
ACC-00384,46,BA,3773.76,4675,601.93,Varejo
ACC-00385,33,SP,4030.52,3484,577.01,Digital
ACC-00386,61,SP,4611.95,1631,243.64,Alta renda
ACC-00387,75,SP,2593.5,645,340.54,Digital
ACC-00388,44,MG,3290.51,901,139.24,Digital
ACC-00389,25,DF,5503.72,4087,793.57,Digital
ACC-00390,48,SP,5699.67,3011,349.1,Digital
ACC-00391,77,BA,9091.87,2697,822.09,Digital
ACC-00392,22,PR,936.28,4639,42.18,Varejo
ACC-00393,33,RJ,1310.77,579,121.58,Alta renda
ACC-00394,63,BA,9899.72,351,1528.99,Varejo
ACC-00395,33,DF,5683.54,1808,806.45,Varejo
ACC-00396,75,GO,6410.76,3705,495.92,Varejo
ACC-00397,53,RS,3180.7,3727,120.24,Varejo
ACC-00398,60,SP,2812.42,4399,302.41,Digital
ACC-00399,71,DF,4358.45,4648,535.73,Varejo
ACC-00400,70,RS,2077.95,4183,306.07,Varejo
ACC-00401,71,GO,1415.72,495,180.0,Empresarial
ACC-00402,37,SP,1859.62,2112,270.0,Digital
ACC-00403,40,RS,4128.8,3964,515.84,Varejo
ACC-00404,72,DF,5791.66,4897,433.76,Varejo
ACC-00405,43,SP,11196.08,2674,1754.22,Alta renda
ACC-00406,23,MG,4874.07,4639,305.34,Digital
ACC-00407,41,SP,5203.76,2661,458.95,Varejo
ACC-00408,77,SP,11467.72,786,1252.72,Alta renda
ACC-00409,29,SP,2310.4,4844,246.56,Alta renda
ACC-00410,71,PR,2051.78,3235,240.98,Digital
ACC-00411,43,MG,2698.21,3574,276.55,Varejo
ACC-00412,77,PR,3595.56,1649,151.94,Varejo
ACC-00413,23,RJ,14258.43,2223,1918.48,Varejo
ACC-00414,39,MG,3051.09,1563,365.11,Alta renda
ACC-00415,24,SP,8951.92,3214,397.92,Varejo
ACC-00416,20,RJ,2815.15,1514,319.11,Alta renda
ACC-00417,55,PE,5268.08,3994,294.68,Empresarial
ACC-00418,64,RJ,5960.18,1182,563.86,Varejo
ACC-00419,52,DF,5412.24,806,470.23,Empresarial
ACC-00420,25,SC,6236.54,3595,308.81,Alta renda
ACC-00421,39,PE,2445.79,1601,195.1,Digital
ACC-00422,62,PR,9862.51,1855,644.63,Varejo
ACC-00423,29,PE,7241.94,3899,905.36,Digital
ACC-00424,40,MG,2425.47,2510,78.04,Varejo
ACC-00425,71,RJ,5317.43,4766,361.44,Digital
ACC-00426,26,SP,1905.4,3412,54.82,Digital
ACC-00427,20,BA,4071.17,2587,451.71,Varejo
ACC-00428,36,SP,1787.89,1347,266.28,Digital
ACC-00429,61,PE,6105.46,2523,594.28,Empresarial
ACC-00430,23,BA,26287.3,184,3947.29,Digital
ACC-00431,36,SC,9957.15,4956,1063.16,Varejo
ACC-00432,47,SP,6154.92,3375,839.67,Varejo
ACC-00433,46,GO,2128.42,342,198.16,Empresarial
ACC-00434,34,MG,4900.87,1921,693.73,Digital
ACC-00435,66,MG,8266.46,1056,318.02,Digital
ACC-00436,33,BA,3613.93,134,326.95,Varejo
ACC-00437,76,SP,4163.17,4401,266.0,Alta renda
ACC-00438,18,MG,1272.42,1213,76.49,Varejo
ACC-00439,65,MG,2195.09,4760,226.24,Digital
ACC-00440,63,SP,1151.21,1160,47.22,Varejo
ACC-00441,21,BA,13285.19,2156,1962.46,Digital
ACC-00442,65,RJ,5204.15,4091,358.08,Varejo
ACC-00443,52,SP,6130.61,2777,214.51,Varejo
ACC-00444,51,SP,3355.13,530,189.47,Digital
ACC-00445,61,GO,1481.14,2052,109.51,Varejo
ACC-00446,52,SP,4291.45,2608,340.88,Varejo
ACC-00447,60,MG,2530.78,430,67.5,Varejo
ACC-00448,62,SP,2037.77,4158,102.65,Varejo
ACC-00449,30,SP,3968.0,485,385.4,Digital
ACC-00450,76,BA,4110.84,3864,251.73,Alta renda
ACC-00451,28,RS,3403.91,2106,248.77,Empresarial
ACC-00452,67,PR,2313.98,1924,268.7,Varejo
ACC-00453,64,DF,2016.64,1001,253.5,Alta renda
ACC-00454,51,RS,3843.38,4640,375.21,Digital
ACC-00455,39,SP,8472.79,4290,691.9,Alta renda
ACC-00456,74,MG,1349.11,3921,111.19,Alta renda
ACC-00457,38,RS,2496.97,3203,162.4,Varejo
ACC-00458,57,RJ,3444.27,441,546.76,Alta renda
ACC-00459,63,DF,3452.38,4164,145.83,Varejo
ACC-00460,39,GO,2603.74,4597,346.32,Digital
ACC-00461,54,MG,13406.96,1585,875.54,Digital
ACC-00462,60,SP,4963.51,4516,701.78,Digital
ACC-00463,51,PR,2017.27,4519,305.15,Empresarial
ACC-00464,59,MG,1126.21,4099,123.02,Varejo
ACC-00465,58,SP,3422.42,95,471.79,Digital
ACC-00466,75,MG,10013.15,3704,1415.14,Varejo
ACC-00467,18,BA,4338.56,4358,297.25,Varejo
ACC-00468,49,PR,849.46,753,35.0,Digital
ACC-00469,55,PR,1563.98,1169,241.92,Varejo
ACC-00470,45,SP,4145.99,2521,516.73,Alta renda
ACC-00471,28,BA,7661.37,4465,1094.33,Alta renda
ACC-00472,19,SP,4195.21,733,109.55,Varejo
ACC-00473,51,SP,4217.68,2143,546.56,Varejo
ACC-00474,50,RS,7688.24,1274,996.51,Varejo
ACC-00475,42,SC,8660.82,4777,1084.28,Varejo
ACC-00476,34,SP,2465.76,3172,392.91,Alta renda
ACC-00477,72,BA,5088.46,1689,763.82,Varejo
ACC-00478,64,RS,2054.32,3882,298.05,Empresarial
ACC-00479,40,RJ,1901.18,3311,140.93,Varejo
ACC-00480,72,SP,5610.65,1678,272.68,Varejo
ACC-00481,29,SP,1517.41,4157,129.33,Digital
