transaction_id,timestamp,account_id,transaction_type,channel,amount,transaction_state,device_id,device_trusted,merchant_category,merchant_id,is_suspicious_simulated,suspicious_pattern
TX-0024914,2025-01-01 07:17:34,ACC-01909,Boleto,Internet Banking,1188.69,GO,DEV-01909-A,1,Transporte,MER-1140,0,Normal
TX-0046477,2025-01-01 07:23:11,ACC-01005,Cartao,E-commerce,227.6,SP,DEV-01005-A,1,Viagem,MER-0695,0,Normal
TX-0001449,2025-01-01 07:25:52,ACC-02041,PIX,Internet Banking,1518.41,BA,NEW-1671094,0,Eletronicos,MER-1122,0,Normal
TX-0009624,2025-01-01 07:51:08,ACC-01278,Transferencia,Internet Banking,163.62,BA,DEV-01278-A,1,Outros,MER-0061,0,Normal
TX-0002157,2025-01-01 08:02:26,ACC-00041,Saque,ATM,151.76,SC,NEW-9711898,0,Outros,MER-0023,0,Normal
TX-0017581,2025-01-01 08:07:06,ACC-01556,Boleto,Internet Banking,93.3,PR,DEV-01556-A,1,Restaurante,MER-1115,0,Normal
TX-0022455,2025-01-01 08:08:11,ACC-00754,PIX,App,180.74,DF,DEV-00754-A,1,Servicos,MER-0173,0,Normal
TX-0019745,2025-01-01 08:19:33,ACC-00589,Boleto,App,1609.64,SP,DEV-00589-A,1,Eletronicos,MER-0350,0,Normal
TX-0044249,2025-01-01 08:19:37,ACC-02419,Cartao,Carteira digital,695.24,GO,DEV-02419-A,1,Transporte,MER-0615,0,Normal
TX-0012413,2025-01-01 08:21:24,ACC-01676,Cartao,E-commerce,423.61,PR,DEV-01676-A,1,Outros,MER-0047,0,Normal
TX-0002012,2025-01-01 08:22:22,ACC-01024,Cartao,POS,384.5,PE,DEV-01024-A,1,Restaurante,MER-0433,0,Normal
TX-0015717,2025-01-01 08:39:48,ACC-00953,PIX,App,1435.34,MG,DEV-00953-A,1,Servicos,MER-0948,0,Normal
TX-0019770,2025-01-01 08:42:27,ACC-01139,PIX,Internet Banking,742.08,SP,DEV-01139-A,1,Viagem,MER-1005,0,Normal
TX-0024611,2025-01-01 09:07:10,ACC-01897,Cartao,POS,57.65,SC,DEV-01897-A,1,Outros,MER-1123,0,Normal
TX-0012157,2025-01-01 09:08:16,ACC-02424,PIX,App,66.57,SP,DEV-02424-A,1,Restaurante,MER-0751,0,Normal
TX-0002732,2025-01-01 09:09:43,ACC-01248,PIX,Internet Banking,350.03,BA,NEW-5121492,0,Restaurante,MER-0919,0,Normal
TX-0029970,2025-01-01 09:18:29,ACC-02399,Cartao,Carteira digital,1287.1,SP,DEV-02399-A,1,Outros,MER-1023,0,Normal
TX-0029347,2025-01-01 09:22:57,ACC-01530,Cartao,Carteira digital,85.57,RJ,DEV-01530-A,1,Transporte,MER-0752,0,Normal
TX-0020010,2025-01-01 09:24:30,ACC-00198,Cartao,E-commerce,142.98,SP,DEV-00198-A,1,Restaurante,MER-0030,0,Normal
TX-0015669,2025-01-01 09:35:08,ACC-00630,Cartao,Carteira digital,1806.13,RJ,DEV-00630-A,1,Transporte,MER-0346,0,Normal
TX-0022983,2025-01-01 09:54:46,ACC-00783,Cartao,Carteira digital,553.59,SP,DEV-00783-A,1,Eletronicos,MER-1018,0,Normal
TX-0047502,2025-01-01 09:59:24,ACC-00059,Transferencia,Internet Banking,1546.5,MG,DEV-00059-A,1,Outros,MER-1018,0,Normal
TX-0046175,2025-01-01 10:09:15,ACC-00499,PIX,App,415.78,RJ,DEV-00499-A,1,Transporte,MER-0135,0,Normal
TX-0042090,2025-01-01 10:14:45,ACC-01887,Transferencia,App,246.92,MG,DEV-01887-A,1,Outros,MER-0782,0,Normal
TX-0037660,2025-01-01 10:23:49,ACC-00540,Transferencia,App,2161.98,MG,DEV-00540-A,1,Outros,MER-0746,0,Normal
TX-0016712,2025-01-01 10:25:05,ACC-00644,Cartao,E-commerce,96.11,SP,DEV-00644-A,1,Outros,MER-0030,0,Normal
TX-0036304,2025-01-01 10:39:41,ACC-00813,Cartao,E-commerce,61.56,MG,DEV-00813-A,1,Mercado,MER-1123,0,Normal
TX-0011859,2025-01-01 10:48:14,ACC-02290,PIX,App,140.45,SP,DEV-02290-A,1,Servicos,MER-1174,0,Normal
TX-0008322,2025-01-01 11:10:44,ACC-02315,PIX,App,1907.26,MG,DEV-02315-A,1,Viagem,MER-0055,0,Normal
TX-0006162,2025-01-01 11:12:36,ACC-01422,PIX,Internet Banking,2397.06,MG,NEW-3454390,0,Transporte,MER-0815,0,Normal
TX-0040239,2025-01-01 11:23:45,ACC-00839,Cartao,Carteira digital,420.72,SP,DEV-00839-A,1,Eletronicos,MER-0541,0,Normal
TX-0011510,2025-01-01 11:35:02,ACC-02061,Boleto,Internet Banking,583.26,RJ,DEV-02061-A,1,Restaurante,MER-1148,0,Normal
TX-0021142,2025-01-01 11:39:36,ACC-02420,PIX,Internet Banking,549.09,BA,DEV-02420-A,1,Servicos,MER-0163,0,Normal
TX-0036898,2025-01-01 11:43:23,ACC-00786,Transferencia,App,72.23,MG,DEV-00786-A,1,Eletronicos,MER-0665,0,Normal
TX-0030401,2025-01-01 11:45:15,ACC-02152,Cartao,E-commerce,155.06,RJ,DEV-02152-A,1,Eletronicos,MER-0682,0,Normal
TX-0027899,2025-01-01 11:50:41,ACC-01555,Boleto,App,614.4,SP,NEW-2942801,0,Viagem,MER-0028,0,Normal
TX-0049187,2025-01-01 11:57:44,ACC-00880,Boleto,App,21.81,BA,DEV-00880-A,1,Outros,MER-0501,0,Normal
TX-0030549,2025-01-01 11:59:38,ACC-01736,PIX,Internet Banking,122.21,MG,DEV-01736-A,1,Viagem,MER-0003,0,Normal
TX-0033015,2025-01-01 12:12:21,ACC-00653,PIX,Internet Banking,443.55,SP,DEV-00653-A,1,Servicos,MER-0976,0,Normal
TX-0039475,2025-01-01 12:19:12,ACC-02072,Cartao,E-commerce,70.69,DF,DEV-02072-A,1,Servicos,MER-0417,0,Normal
TX-0032656,2025-01-01 12:36:59,ACC-00467,Cartao,E-commerce,58.69,BA,DEV-00467-A,1,Transporte,MER-1049,0,Normal
TX-0043424,2025-01-01 12:46:41,ACC-00014,Cartao,Carteira digital,338.28,PR,DEV-00014-A,1,Restaurante,MER-0157,0,Normal
TX-0028370,2025-01-01 13:05:22,ACC-01895,Cartao,E-commerce,1355.67,BA,DEV-01895-A,1,Mercado,MER-0990,0,Normal
TX-0027869,2025-01-01 13:10:43,ACC-00800,PIX,Internet Banking,81.08,RS,DEV-00800-A,1,Outros,MER-1052,0,Normal
TX-0036480,2025-01-01 13:42:34,ACC-01566,Transferencia,App,30.12,BA,DEV-01566-A,1,Outros,MER-0481,0,Normal
TX-0031437,2025-01-01 13:51:02,ACC-01328,Cartao,POS,787.19,SC,DEV-01328-A,1,Outros,MER-0576,0,Normal
TX-0033287,2025-01-01 14:02:43,ACC-00279,PIX,Internet Banking,518.6,BA,DEV-00279-A,1,Outros,MER-0419,0,Normal
TX-0006088,2025-01-01 14:05:54,ACC-01800,Cartao,POS,106.59,PE,DEV-01800-A,1,Restaurante,MER-0486,0,Normal
TX-0024253,2025-01-01 14:09:16,ACC-01026,Boleto,App,1067.17,SP,NEW-4522370,0,Servicos,MER-0385,0,Normal
TX-0014446,2025-01-01 14:14:15,ACC-01099,Cartao,E-commerce,608.31,SP,DEV-01099-A,1,Outros,MER-0373,0,Normal
TX-0027698,2025-01-01 14:18:44,ACC-00704,PIX,Internet Banking,657.46,RJ,DEV-00704-A,1,Mercado,MER-1030,0,Normal
TX-0006515,2025-01-01 14:49:02,ACC-01068,Cartao,Carteira digital,1285.88,SP,NEW-7654546,0,Eletronicos,MER-0192,0,Normal
TX-0022804,2025-01-01 14:50:25,ACC-00937,Boleto,App,2088.67,MG,RISK-4256919,0,Viagem,MER-0215,1,Novo dispositivo e local
TX-0009030,2025-01-01 15:05:07,ACC-01165,Cartao,POS,123.9,SP,DEV-01165-A,1,Eletronicos,MER-0912,0,Normal
TX-0015111,2025-01-01 15:12:04,ACC-02055,Saque,ATM,378.87,SC,DEV-02055-A,1,Transporte,MER-0173,0,Normal
TX-0012207,2025-01-01 15:15:27,ACC-01261,Boleto,App,184.55,MG,DEV-01261-A,1,Eletronicos,MER-0648,0,Normal
TX-0004193,2025-01-01 15:26:14,ACC-00446,Cartao,E-commerce,618.47,SP,DEV-00446-A,1,Eletronicos,MER-0880,0,Normal
TX-0016892,2025-01-01 15:37:58,ACC-02171,Cartao,Carteira digital,132.82,RJ,NEW-5800369,0,Servicos,MER-0389,0,Normal
TX-0017232,2025-01-01 15:38:08,ACC-02346,PIX,Internet Banking,441.51,RS,DEV-02346-A,1,Viagem,MER-0055,0,Normal
TX-0040139,2025-01-01 15:38:41,ACC-00394,Boleto,Internet Banking,1649.4,BA,DEV-00394-A,1,Mercado,MER-0838,0,Normal
TX-0012807,2025-01-01 15:39:11,ACC-01500,Cartao,E-commerce,569.07,RJ,DEV-01500-A,1,Eletronicos,MER-0187,0,Normal
TX-0019664,2025-01-01 15:40:32,ACC-02297,Cartao,Carteira digital,117.66,SP,DEV-02297-A,1,Eletronicos,MER-0766,0,Normal
TX-0037702,2025-01-01 15:43:13,ACC-01720,Cartao,POS,357.02,SP,NEW-6263330,0,Restaurante,MER-0073,0,Normal
TX-0000062,2025-01-01 15:43:44,ACC-02118,PIX,Internet Banking,97.65,GO,DEV-02118-A,1,Viagem,MER-0647,0,Normal
TX-0048696,2025-01-01 15:49:01,ACC-01977,Cartao,Carteira digital,1048.33,MG,DEV-01977-A,1,Outros,MER-0984,0,Normal
TX-0031773,2025-01-01 16:02:44,ACC-01590,Cartao,E-commerce,316.29,SP,DEV-01590-A,1,Viagem,MER-0511,0,Normal
TX-0042794,2025-01-01 16:07:37,ACC-01787,Cartao,Carteira digital,106.68,BA,DEV-01787-A,1,Transporte,MER-1090,0,Normal
TX-0003233,2025-01-01 16:12:14,ACC-00622,Cartao,POS,205.35,BA,DEV-00622-A,1,Outros,MER-0851,0,Normal
TX-0034821,2025-01-01 16:12:26,ACC-01002,Cartao,E-commerce,798.34,DF,DEV-01002-A,1,Outros,MER-0009,0,Normal
TX-0025704,2025-01-01 16:15:36,ACC-02132,Cartao,Carteira digital,570.26,BA,DEV-02132-A,1,Outros,MER-0084,0,Normal
TX-0014443,2025-01-01 16:39:04,ACC-00060,PIX,Internet Banking,82.23,PR,DEV-00060-A,1,Servicos,MER-0873,0,Normal
TX-0018610,2025-01-01 16:49:26,ACC-01027,Cartao,POS,1743.28,BA,DEV-01027-A,1,Mercado,MER-0670,0,Normal
TX-0042904,2025-01-01 16:54:20,ACC-01870,Saque,ATM,767.99,PR,DEV-01870-A,1,Restaurante,MER-0665,0,Normal
TX-0031065,2025-01-01 16:58:01,ACC-02363,PIX,App,1309.84,SP,DEV-02363-A,1,Eletronicos,MER-0662,0,Normal
TX-0040052,2025-01-01 16:58:20,ACC-01015,PIX,App,49.74,RJ,DEV-01015-A,1,Restaurante,MER-0200,0,Normal
TX-0046590,2025-01-01 17:02:11,ACC-00704,PIX,Internet Banking,361.83,RJ,DEV-00704-A,1,Viagem,MER-1092,0,Normal
TX-0024825,2025-01-01 17:08:06,ACC-01955,Transferencia,App,296.58,SP,DEV-01955-A,1,Outros,MER-1168,0,Normal
TX-0037529,2025-01-01 17:16:50,ACC-02089,Transferencia,Internet Banking,1880.94,RS,DEV-02089-A,1,Restaurante,MER-0923,0,Normal
TX-0018845,2025-01-01 17:36:24,ACC-01708,Saque,ATM,614.04,SP,DEV-01708-A,1,Mercado,MER-0283,0,Normal
TX-0049643,2025-01-01 17:39:24,ACC-02110,Boleto,App,846.36,RJ,DEV-02110-A,1,Restaurante,MER-0240,0,Normal
TX-0005892,2025-01-01 17:42:58,ACC-00532,Cartao,Carteira digital,621.02,SP,DEV-00532-A,1,Transporte,MER-0904,0,Normal
TX-0014610,2025-01-01 17:44:36,ACC-01330,Cartao,Carteira digital,604.37,SP,DEV-01330-A,1,Outros,MER-0065,0,Normal
TX-0014993,2025-01-01 17:57:47,ACC-01555,Cartao,POS,772.94,SP,DEV-01555-A,1,Transporte,MER-0879,0,Normal
TX-0003527,2025-01-01 17:59:24,ACC-02492,Transferencia,Internet Banking,541.52,RS,DEV-02492-A,1,Transporte,MER-0060,0,Normal
TX-0031219,2025-01-01 18:13:56,ACC-00767,Cartao,E-commerce,73.36,SP,DEV-00767-A,1,Eletronicos,MER-0537,0,Normal
TX-0043938,2025-01-01 18:19:52,ACC-00619,Cartao,POS,55.38,GO,DEV-00619-A,1,Servicos,MER-0628,0,Normal
TX-0043531,2025-01-01 18:23:54,ACC-01724,Cartao,E-commerce,752.36,SP,DEV-01724-A,1,Outros,MER-1139,0,Normal
TX-0025849,2025-01-01 18:26:38,ACC-00666,Transferencia,Internet Banking,193.09,RJ,DEV-00666-A,1,Servicos,MER-0759,0,Normal
TX-0021029,2025-01-01 18:29:12,ACC-00054,Cartao,POS,521.55,BA,DEV-00054-A,1,Outros,MER-0448,0,Normal
TX-0015368,2025-01-01 18:30:56,ACC-01270,PIX,App,69.52,BA,DEV-01270-A,1,Eletronicos,MER-0852,0,Normal
TX-0037191,2025-01-01 18:59:49,ACC-02423,Cartao,POS,445.18,GO,DEV-02423-A,1,Viagem,MER-0006,0,Normal
TX-0020125,2025-01-01 19:20:29,ACC-00116,Cartao,Carteira digital,159.25,SP,DEV-00116-A,1,Eletronicos,MER-0237,0,Normal
TX-0044715,2025-01-01 19:40:37,ACC-02113,Cartao,Carteira digital,750.11,SP,DEV-02113-A,1,Viagem,MER-0953,0,Normal
TX-0034835,2025-01-01 19:46:35,ACC-02064,Boleto,App,2962.13,RJ,DEV-02064-A,1,Outros,MER-0844,0,Normal
TX-0010817,2025-01-01 19:53:10,ACC-01417,Boleto,App,59.76,SP,DEV-01417-A,1,Mercado,MER-1020,0,Normal
TX-0019474,2025-01-01 20:08:49,ACC-01288,Transferencia,Internet Banking,402.63,RJ,DEV-01288-A,1,Restaurante,MER-0315,0,Normal
TX-0047335,2025-01-01 20:11:39,ACC-00194,PIX,App,935.81,SP,NEW-3789367,0,Transporte,MER-0108,0,Normal
TX-0041164,2025-01-01 20:11:49,ACC-02319,Transferencia,Internet Banking,451.54,SP,DEV-02319-A,1,Eletronicos,MER-0179,0,Normal
TX-0007202,2025-01-01 20:12:02,ACC-01102,PIX,App,618.27,SP,DEV-01102-A,1,Mercado,MER-0188,0,Normal
TX-0023864,2025-01-01 20:26:56,ACC-02493,PIX,Internet Banking,149.13,SP,DEV-02493-A,1,Transporte,MER-1095,0,Normal
TX-0028959,2025-01-01 20:46:08,ACC-01446,Cartao,E-commerce,969.82,GO,DEV-01446-A,1,Servicos,MER-0377,0,Normal
TX-0026885,2025-01-01 21:29:08,ACC-01383,Cartao,E-commerce,35.68,MG,DEV-01383-A,1,Servicos,MER-0650,0,Normal
TX-0032963,2025-01-01 21:56:53,ACC-01183,PIX,App,103.93,SP,RISK-0085640,0,Servicos,MER-0726,1,Novo dispositivo e local
TX-0044420,2025-01-01 22:46:37,ACC-02440,Cartao,E-commerce,59.49,RJ,DEV-02440-A,1,Eletronicos,MER-0182,0,Normal
TX-0044354,2025-01-01 23:43:04,ACC-00920,Boleto,App,1214.13,SP,DEV-00920-A,1,Transporte,MER-1052,0,Normal
TX-0034734,2025-01-01 23:51:10,ACC-00887,Cartao,E-commerce,269.66,RJ,DEV-00887-A,1,Eletronicos,MER-0150,0,Normal
TX-0013942,2025-01-02 00:11:01,ACC-00987,PIX,Internet Banking,609.53,BA,DEV-00987-A,1,Viagem,MER-0132,0,Normal
TX-0044018,2025-01-02 00:19:34,ACC-01570,PIX,Internet Banking,299.75,SP,DEV-01570-A,1,Mercado,MER-0553,0,Normal
TX-0030290,2025-01-02 01:36:00,ACC-00615,Cartao,E-commerce,955.2,SP,NEW-8492596,0,Transporte,MER-0287,1,Horario incomum
TX-0029641,2025-01-02 03:21:00,ACC-02357,Boleto,App,843.9,SP,DEV-02357-A,1,Mercado,MER-0300,1,Horario incomum
TX-0020105,2025-01-02 03:39:32,ACC-01455,Cartao,Carteira digital,15500.0,RJ,DEV-01455-A,1,Transporte,MER-0925,1,Valor atipico
TX-0038330,2025-01-02 04:08:40,ACC-00563,Cartao,Carteira digital,35.2,MG,DEV-00563-A,1,Mercado,MER-0030,0,Normal
TX-0034819,2025-01-02 04:15:55,ACC-02055,Cartao,E-commerce,358.13,SC,DEV-02055-A,1,Transporte,MER-0638,0,Normal
TX-0044479,2025-01-02 05:13:39,ACC-00529,PIX,Internet Banking,2110.39,SC,DEV-00529-A,1,Transporte,MER-0513,0,Normal
TX-0024441,2025-01-02 05:25:15,ACC-00241,Cartao,POS,1998.03,SP,DEV-00241-A,1,Restaurante,MER-1175,0,Normal
TX-0036115,2025-01-02 05:59:33,ACC-01522,PIX,Internet Banking,24.43,MG,DEV-01522-A,1,Mercado,MER-0516,0,Normal
TX-0026330,2025-01-02 06:21:46,ACC-02490,PIX,App,912.87,PR,DEV-02490-A,1,Eletronicos,MER-1113,0,Normal
TX-0041711,2025-01-02 06:38:23,ACC-00423,Transferencia,Internet Banking,773.96,PE,DEV-00423-A,1,Viagem,MER-0730,0,Normal
TX-0033932,2025-01-02 06:50:09,ACC-01276,Transferencia,Internet Banking,163.02,PE,DEV-01276-A,1,Mercado,MER-0862,0,Normal
TX-0029410,2025-01-02 07:02:55,ACC-00299,Cartao,POS,674.15,RJ,DEV-00299-A,1,Servicos,MER-1020,0,Normal
TX-0000666,2025-01-02 07:04:31,ACC-00455,Cartao,POS,367.06,SP,DEV-00455-A,1,Transporte,MER-1147,0,Normal
TX-0013666,2025-01-02 07:12:38,ACC-01375,Transferencia,App,188.18,BA,DEV-01375-A,1,Outros,MER-0485,0,Normal
TX-0036256,2025-01-02 07:16:00,ACC-01794,Transferencia,Internet Banking,26.43,BA,DEV-01794-A,1,Outros,MER-0417,0,Normal
TX-0021348,2025-01-02 07:16:13,ACC-00897,PIX,Internet Banking,173.86,GO,DEV-00897-A,1,Eletronicos,MER-1100,0,Normal
TX-0021950,2025-01-02 07:25:42,ACC-01425,Cartao,POS,13.85,RJ,NEW-8577483,0,Restaurante,MER-0809,0,Normal
TX-0040792,2025-01-02 07:27:35,ACC-01226,Cartao,E-commerce,103.7,RS,DEV-01226-A,1,Servicos,MER-0761,0,Normal
TX-0029392,2025-01-02 07:41:30,ACC-02044,Cartao,E-commerce,443.6,SP,DEV-02044-A,1,Mercado,MER-0021,0,Normal
TX-0047292,2025-01-02 07:42:51,ACC-00014,Transferencia,App,292.77,PR,DEV-00014-A,1,Viagem,MER-0067,0,Normal
TX-0003602,2025-01-02 08:08:15,ACC-00578,PIX,Internet Banking,233.3,MG,DEV-00578-A,1,Transporte,MER-0087,0,Normal
TX-0042034,2025-01-02 08:09:52,ACC-01398,PIX,App,301.18,GO,DEV-01398-A,1,Transporte,MER-0101,0,Normal
TX-0009058,2025-01-02 08:11:41,ACC-01651,Cartao,POS,463.71,SP,DEV-01651-A,1,Transporte,MER-0874,0,Normal
TX-0036184,2025-01-02 08:17:34,ACC-01524,PIX,App,106.97,SP,NEW-2958086,0,Servicos,MER-0183,0,Normal
TX-0029519,2025-01-02 08:23:23,ACC-00977,PIX,Internet Banking,2813.49,MG,DEV-00977-A,1,Transporte,MER-0245,0,Normal
TX-0023482,2025-01-02 08:39:41,ACC-02047,Cartao,E-commerce,136.76,RJ,DEV-02047-A,1,Eletronicos,MER-0788,0,Normal
TX-0003997,2025-01-02 08:54:44,ACC-00689,Transferencia,Internet Banking,1568.72,SP,NEW-7094580,0,Mercado,MER-0986,0,Normal
TX-0029125,2025-01-02 09:09:09,ACC-00982,PIX,App,59.22,SP,DEV-00982-A,1,Restaurante,MER-0435,0,Normal
TX-0002709,2025-01-02 09:15:08,ACC-01141,Cartao,Carteira digital,186.43,MG,DEV-01141-A,1,Viagem,MER-0472,0,Normal
TX-0015430,2025-01-02 09:28:36,ACC-02126,PIX,Internet Banking,366.24,MG,DEV-02126-A,1,Transporte,MER-1031,0,Normal
TX-0006393,2025-01-02 09:39:58,ACC-01057,Boleto,Internet Banking,2015.53,MG,DEV-01057-A,1,Transporte,MER-0221,0,Normal
TX-0020593,2025-01-02 09:41:24,ACC-02369,PIX,Internet Banking,717.85,SP,DEV-02369-A,1,Outros,MER-0976,0,Normal
TX-0009648,2025-01-02 09:43:11,ACC-02320,Cartao,E-commerce,167.59,SP,DEV-02320-A,1,Eletronicos,MER-0648,0,Normal
TX-0038288,2025-01-02 09:44:09,ACC-01811,PIX,Internet Banking,146.75,SP,DEV-01811-A,1,Outros,MER-1141,0,Normal
TX-0007280,2025-01-02 09:46:35,ACC-01194,Cartao,POS,86.19,MG,DEV-01194-A,1,Transporte,MER-0549,0,Normal
TX-0044325,2025-01-02 09:55:47,ACC-00954,Transferencia,App,84.45,SP,DEV-00954-A,1,Restaurante,MER-0455,0,Normal
TX-0043713,2025-01-02 09:57:34,ACC-02451,PIX,App,349.37,SP,DEV-02451-A,1,Eletronicos,MER-1107,0,Normal
TX-0033343,2025-01-02 10:21:40,ACC-02054,Boleto,App,675.65,MG,DEV-02054-A,1,Eletronicos,MER-0789,0,Normal
TX-0015087,2025-01-02 10:36:28,ACC-00452,Transferencia,App,250.52,MG,DEV-00452-A,1,Eletronicos,MER-0587,0,Normal
TX-0002077,2025-01-02 10:46:30,ACC-00063,Cartao,POS,260.97,MG,DEV-00063-A,1,Servicos,MER-0047,0,Normal
TX-0042849,2025-01-02 10:46:32,ACC-00296,Cartao,Carteira digital,411.97,MG,DEV-00296-A,1,Servicos,MER-0745,0,Normal
TX-0022751,2025-01-02 10:52:25,ACC-01405,PIX,App,163.07,BA,DEV-01405-A,1,Mercado,MER-0756,0,Normal
TX-0021928,2025-01-02 11:01:59,ACC-00494,Boleto,App,696.19,GO,DEV-00494-A,1,Servicos,MER-0673,0,Normal
TX-0005808,2025-01-02 11:06:02,ACC-01759,Cartao,POS,1125.81,RS,DEV-01759-A,1,Servicos,MER-0552,0,Normal
TX-0038179,2025-01-02 11:09:41,ACC-02300,PIX,App,136.05,MG,DEV-02300-A,1,Servicos,MER-0242,0,Normal
TX-0023156,2025-01-02 11:10:42,ACC-00612,PIX,App,684.13,RS,DEV-00612-A,1,Outros,MER-0078,0,Normal
TX-0042845,2025-01-02 11:15:03,ACC-00519,Cartao,POS,1295.96,SP,DEV-00519-A,1,Mercado,MER-1110,0,Normal
TX-0032868,2025-01-02 11:22:53,ACC-00859,PIX,Internet Banking,211.67,MG,DEV-00859-A,1,Mercado,MER-0159,0,Normal
TX-0030274,2025-01-02 11:34:31,ACC-01860,Cartao,E-commerce,319.92,SP,DEV-01860-A,1,Servicos,MER-0985,0,Normal
TX-0045045,2025-01-02 12:13:52,ACC-01836,Transferencia,Internet Banking,370.75,RJ,DEV-01836-A,1,Eletronicos,MER-0253,0,Normal
TX-0001261,2025-01-02 12:20:02,ACC-01975,Cartao,E-commerce,148.95,PE,DEV-01975-A,1,Eletronicos,MER-0107,0,Normal
TX-0028968,2025-01-02 12:20:15,ACC-00255,Boleto,App,684.11,PE,DEV-00255-A,1,Transporte,MER-1071,0,Normal
TX-0015932,2025-01-02 12:20:24,ACC-01709,PIX,App,30.23,SP,NEW-1081822,0,Eletronicos,MER-0307,0,Normal
TX-0041117,2025-01-02 12:26:02,ACC-00081,Cartao,E-commerce,570.37,RJ,DEV-00081-A,1,Outros,MER-1060,0,Normal
TX-0034455,2025-01-02 12:29:37,ACC-00311,Saque,ATM,79.73,SP,NEW-2573569,0,Eletronicos,MER-0900,0,Normal
TX-0048493,2025-01-02 12:31:35,ACC-01227,Cartao,Carteira digital,1048.48,DF,DEV-01227-A,1,Servicos,MER-0329,0,Normal
TX-0013778,2025-01-02 12:43:06,ACC-02260,Saque,ATM,135.93,SC,DEV-02260-A,1,Servicos,MER-0198,0,Normal
TX-0008397,2025-01-02 12:49:07,ACC-01731,Cartao,E-commerce,250.36,RJ,DEV-01731-A,1,Viagem,MER-0879,0,Normal
TX-0024033,2025-01-02 12:54:19,ACC-00818,Boleto,Internet Banking,265.01,RJ,DEV-00818-A,1,Outros,MER-0370,0,Normal
TX-0023897,2025-01-02 12:58:20,ACC-00925,PIX,App,304.8,SP,DEV-00925-A,1,Mercado,MER-0570,0,Normal
TX-0046349,2025-01-02 13:01:28,ACC-02299,PIX,Internet Banking,251.57,SP,DEV-02299-A,1,Transporte,MER-0256,0,Normal
TX-0003957,2025-01-02 13:08:19,ACC-02157,PIX,Internet Banking,418.2,PR,NEW-7167645,0,Servicos,MER-0111,0,Normal
TX-0032575,2025-01-02 13:20:04,ACC-01713,Boleto,Internet Banking,403.53,BA,DEV-01713-A,1,Servicos,MER-0308,0,Normal
TX-0020805,2025-01-02 13:20:40,ACC-00823,Transferencia,Internet Banking,1881.39,RJ,DEV-00823-A,1,Servicos,MER-0977,0,Normal
TX-0000440,2025-01-02 13:21:56,ACC-01144,Transferencia,App,597.18,SP,DEV-01144-A,1,Restaurante,MER-0960,0,Normal
TX-0015135,2025-01-02 13:22:05,ACC-02139,Cartao,Carteira digital,143.56,RJ,DEV-02139-A,1,Mercado,MER-0264,0,Normal
TX-0012281,2025-01-02 13:31:12,ACC-01377,Transferencia,Internet Banking,578.92,SP,DEV-01377-A,1,Restaurante,MER-0486,0,Normal
TX-0026925,2025-01-02 13:35:21,ACC-02163,Transferencia,App,647.19,DF,DEV-02163-A,1,Transporte,MER-0164,0,Normal
TX-0043901,2025-01-02 13:48:47,ACC-01092,Saque,ATM,463.93,BA,DEV-01092-A,1,Servicos,MER-1159,0,Normal
TX-0045384,2025-01-02 13:48:56,ACC-01327,PIX,App,37.34,GO,DEV-01327-A,1,Restaurante,MER-0033,0,Normal
